variant,baseline_variant,q_type,metric,count,baseline_mean,variant_mean,gain
full,full,fact,context_recall,4,0.47500000000000003,0.47500000000000003,0.0
full,full,fact,context_precision,4,0.55,0.55,0.0
full,full,fact,faithfulness,4,1.0,1.0,0.0
full,full,fact,answer_relevance,4,0.775,0.775,0.0
full,full,multi-hop,context_recall,3,0.7999999999999999,0.7999999999999999,0.0
full,full,multi-hop,context_precision,3,0.7666666666666666,0.7666666666666666,0.0
full,full,multi-hop,faithfulness,3,0.9,0.9,0.0
full,full,multi-hop,answer_relevance,3,0.9,0.9,0.0
full,full,negative,context_recall,3,0.10000000000000002,0.10000000000000002,0.0
full,full,negative,context_precision,3,0.20000000000000004,0.20000000000000004,0.0
full,full,negative,faithfulness,3,1.0,1.0,0.0
full,full,negative,answer_relevance,3,1.0,1.0,0.0
chunk200_baseline,full,fact,context_recall,4,0.47500000000000003,0.775,0.3
chunk200_baseline,full,fact,context_precision,4,0.55,0.775,0.22499999999999998
chunk200_baseline,full,fact,faithfulness,4,1.0,0.775,-0.22499999999999998
chunk200_baseline,full,fact,answer_relevance,4,0.775,1.0,0.22499999999999998
chunk200_baseline,full,multi-hop,context_recall,3,0.7999999999999999,0.7999999999999999,0.0
chunk200_baseline,full,multi-hop,context_precision,3,0.7666666666666666,0.7999999999999999,0.033333333333333326
chunk200_baseline,full,multi-hop,faithfulness,3,0.9,0.7999999999999999,-0.10000000000000009
chunk200_baseline,full,multi-hop,answer_relevance,3,0.9,0.9,0.0
chunk200_baseline,full,negative,context_recall,3,0.10000000000000002,0.10000000000000002,0.0
chunk200_baseline,full,negative,context_precision,3,0.20000000000000004,0.20000000000000004,0.0
chunk200_baseline,full,negative,faithfulness,3,1.0,1.0,0.0
chunk200_baseline,full,negative,answer_relevance,3,1.0,1.0,0.0
