variant,threshold,accepted_count,refused_count,refusal_rate,accepted_accuracy_proxy,error_capture_rate_by_refusal,error_leakage_rate_after_accept,utility_score
full,0.4,10,0,0.0,0.3,0.0,0.7,0.09
full,0.45,10,0,0.0,0.3,0.0,0.7,0.09
full,0.5,9,1,0.1,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.11333333333333331
full,0.55,9,1,0.1,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.11333333333333331
full,0.6,9,1,0.1,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.11333333333333331
full,0.6499999999999999,9,1,0.1,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.11333333333333331
full,0.7,9,1,0.1,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.11333333333333331
full,0.75,6,4,0.4,0.5,0.5714285714285714,0.5,0.27
full,0.7999999999999999,4,6,0.6,0.5,0.7142857142857143,0.5,0.23
full,0.8499999999999999,4,6,0.6,0.5,0.7142857142857143,0.5,0.23
full,0.8999999999999999,4,6,0.6,0.5,0.7142857142857143,0.5,0.23
chunk200_baseline,0.4,10,0,0.0,0.4,0.0,0.6,0.22000000000000003
chunk200_baseline,0.45,10,0,0.0,0.4,0.0,0.6,0.22000000000000003
chunk200_baseline,0.5,9,1,0.1,0.3333333333333333,0.0,0.6666666666666666,0.11333333333333331
chunk200_baseline,0.55,9,1,0.1,0.3333333333333333,0.0,0.6666666666666666,0.11333333333333331
chunk200_baseline,0.6,9,1,0.1,0.3333333333333333,0.0,0.6666666666666666,0.11333333333333331
chunk200_baseline,0.6499999999999999,9,1,0.1,0.3333333333333333,0.0,0.6666666666666666,0.11333333333333331
chunk200_baseline,0.7,9,1,0.1,0.3333333333333333,0.0,0.6666666666666666,0.11333333333333331
chunk200_baseline,0.75,6,4,0.4,0.5,0.5,0.5,0.27
chunk200_baseline,0.7999999999999999,4,6,0.6,0.75,0.8333333333333334,0.25,0.555
chunk200_baseline,0.8499999999999999,4,6,0.6,0.75,0.8333333333333334,0.25,0.555
chunk200_baseline,0.8999999999999999,4,6,0.6,0.75,0.8333333333333334,0.25,0.555
