variant,threshold,accepted_count,refused_count,refusal_rate,accepted_accuracy_proxy,error_capture_rate_by_refusal,error_leakage_rate_after_accept,utility_score
full,0.4,10,0,0.0,0.8,0.0,0.2,0.74
full,0.45,10,0,0.0,0.8,0.0,0.2,0.74
full,0.5,9,1,0.1,0.8888888888888888,0.5,0.1111111111111111,0.8355555555555555
full,0.55,9,1,0.1,0.8888888888888888,0.5,0.1111111111111111,0.8355555555555555
full,0.6,9,1,0.1,0.8888888888888888,0.5,0.1111111111111111,0.8355555555555555
full,0.6499999999999999,9,1,0.1,0.8888888888888888,0.5,0.1111111111111111,0.8355555555555555
full,0.7,9,1,0.1,0.8888888888888888,0.5,0.1111111111111111,0.8355555555555555
full,0.75,6,4,0.4,1.0,1.0,0.0,0.9199999999999999
full,0.7999999999999999,4,6,0.6,1.0,1.0,0.0,0.88
full,0.8499999999999999,4,6,0.6,1.0,1.0,0.0,0.88
full,0.8999999999999999,4,6,0.6,1.0,1.0,0.0,0.88
chunk200_baseline,0.4,10,0,0.0,0.7,0.0,0.3,0.61
chunk200_baseline,0.45,10,0,0.0,0.7,0.0,0.3,0.61
chunk200_baseline,0.5,9,1,0.1,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.6911111111111111
chunk200_baseline,0.55,9,1,0.1,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.6911111111111111
chunk200_baseline,0.6,9,1,0.1,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.6911111111111111
chunk200_baseline,0.6499999999999999,9,1,0.1,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.6911111111111111
chunk200_baseline,0.7,9,1,0.1,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.6911111111111111
chunk200_baseline,0.75,6,4,0.4,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.7033333333333334
chunk200_baseline,0.7999999999999999,4,6,0.6,1.0,1.0,0.0,0.88
chunk200_baseline,0.8499999999999999,4,6,0.6,1.0,1.0,0.0,0.88
chunk200_baseline,0.8999999999999999,4,6,0.6,1.0,1.0,0.0,0.88
